Sno,partNumber,noun,kitName,stateStatus,currentStatus,manufacturer,form48number,userName,dieNumber,remarks
149,HB6351-5,LOCK WASHER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
150,FZ-508,PRESSURIZATION VENT VALVE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
151,FZ508-101,CASING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
152,FZ508-102,UPPER COVER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
153,YXF78-00-05,VALVE SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
154,YXF78-00-07,GUARD RING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
155,YDT16-003,SPRING COIL,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-
156,YDT13-003,SEAL SLEEVE ASSY,Kit C 125,Under Indegenization,Under Drawing,,,,,Rubber-SAMPLE REQUIRED TO BY CUT FOR DIMENSIONING 04-03-25
157,YDT13-005,LOCK PIECE,Kit C 125,Under Indegenization,IN LIUE PART UNDER FEASIBILITY,,,,,Metallic-SAME AS YDT16-010 IN LIUE TO BE MARK  05-03-25
158,YDT13-006,EYE BOLT,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-
159,YDT13-007,BOLT,Kit C 125,Under Indegenization,Under Feasibility 18-03-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
160,YDT13-100,ELBOW NOZZLE,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-
161,FR227-0002,CONNECTING ROD,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
162,FR227-0004,UPPER CASING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
163,FR227-0005,UPPER COVER,Kit C 125,Under Indegenization,Under Drawing 06-03-25,,,,,Metallic-
164,FZ508-115,LARGE SPRING SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
165,GB894.1-86-6-65Mn-Zn.D,CIRCLIP FOR SHAFT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
166,DD-FC1-42014-110,PISTON ROD,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
167,YZL25-1300,PISTON ROD ASSEMBLY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
168,YZL25-1301,LARGE PISTON ROD,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
169,YZL25-1302,SMALL PISTON ROD,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
170,ZL-44270A,H/B ASSY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
171,ZL-44350A,THREDDE PLUG,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
172,YDT15-001(Y),UNIVERSAL JOINT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
173,YDT17-200(Y),OUTER CYLINDER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
174,YDT16-010,KEY,Kit C 125,Part Under TF,Under Feasibility 26-02-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
175,T8A.07.01,RETAINER,Kit C 125,MCL,MCL,SPRING SHOP,,,,Metallic-PART RELACE WITH YDT18-001
176,YDT18-001-1,LABEL,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
177,YDT18-002-2,STRIP,Kit C 125,Form 17 Pending,Form-017 Requried,,,AFR ACCY SHOP II,,Metallic-PART RELACE WITH YDT18-001-2
178,YDT18-005,EARING JOINT ASSY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
179,TF-112-1,SCREW,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
180,TF-120,RUBBER GASKET,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Rubber-
181,TF-133,SEAL RING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Rubber-
182,YS126A-011,CASING ASSEMBLY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
183,YS126A-102,VALVE CORE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
184,YS126B-011,ORIFICE COMPONENT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
185,GB6172M6-1Cr17Ni2,THIN HEXAGON NUT,Kit C 125,Under Indegenization,Under Feasibility 18-03-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
186,YYS2-103,RIGHT END COVER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
187,FA3-17-2.8J7,SEALING RING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Rubber-
